"category"	"over_represented_pvalue"	"under_represented_pvalue"	"numDEInCat"	"numInCat"	"term"	"ontology"
"GO:0045070"	0.322414180864134	0.84868610621373	4	23	"positive regulation of viral genome replication"	"BP"
"GO:0048266"	0.322431100826056	0.903292578620906	2	9	"behavioral response to pain"	"BP"
"GO:0061307"	0.322493654828579	0.903260534497262	2	9	"cardiac neural crest cell differentiation involved in heart development"	"BP"
"GO:0016247"	0.322562068770764	0.786588660132734	11	75	"channel regulator activity"	"MF"
"GO:0006059"	0.322668149456429	0.959140473223379	1	3	"hexitol metabolic process"	"BP"
"GO:0046122"	0.322755582121471	0.959116232002883	1	3	"purine deoxyribonucleoside metabolic process"	"BP"
"GO:0003151"	0.322767726367097	0.811767897001143	7	43	"outflow tract morphogenesis"	"BP"
"GO:1901988"	0.32298085904459	0.774910371189937	14	95	"negative regulation of cell cycle phase transition"	"BP"
"GO:0004948"	0.323105344783823	0.959019172560279	1	3	"calcitonin receptor activity"	"MF"
"GO:0048814"	0.323119937619448	0.791324759246617	10	65	"regulation of dendrite morphogenesis"	"BP"
"GO:0051135"	0.323252726404956	0.958978232959028	1	3	"positive regulation of NK T cell activation"	"BP"
"GO:0035303"	0.323408785449592	0.768688206338045	16	109	"regulation of dephosphorylation"	"BP"
"GO:0002704"	0.323494357697591	0.820471401000009	6	37	"negative regulation of leukocyte mediated immunity"	"BP"
"GO:0021678"	0.323702169368983	0.958853236430134	1	3	"third ventricle development"	"BP"
"GO:1903779"	0.3237484911127	0.902616651600749	2	9	"regulation of cardiac conduction"	"BP"
"GO:0035308"	0.323821927394921	0.796370143272799	9	58	"negative regulation of protein dephosphorylation"	"BP"
"GO:1903750"	0.323942232566142	0.958786378516577	1	3	"regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide"	"BP"
"GO:1903751"	0.323942232566142	0.958786378516577	1	3	"negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide"	"BP"
"GO:0051923"	0.323948062612381	0.902514058227875	2	9	"sulfation"	"BP"
"GO:0071673"	0.324107829795662	0.958740221749472	1	3	"positive regulation of smooth muscle cell chemotaxis"	"BP"
"GO:0002540"	0.324144518205181	0.958729991453058	1	3	"leukotriene production involved in inflammatory response"	"BP"
"GO:0006222"	0.32426075969812	0.958697568370432	1	3	"UMP biosynthetic process"	"BP"
"GO:0009173"	0.32426075969812	0.958697568370432	1	3	"pyrimidine ribonucleoside monophosphate metabolic process"	"BP"
"GO:0009174"	0.32426075969812	0.958697568370432	1	3	"pyrimidine ribonucleoside monophosphate biosynthetic process"	"BP"
"GO:0046049"	0.32426075969812	0.958697568370432	1	3	"UMP metabolic process"	"BP"
"GO:0042732"	0.324345735876416	0.958673856471588	1	3	"D-xylose metabolic process"	"BP"
"GO:1900025"	0.324519665841239	0.902219927928794	2	9	"negative regulation of substrate adhesion-dependent cell spreading"	"BP"
"GO:0007126"	0.324767215244311	0.767463670602517	16	110	"meiotic nuclear division"	"BP"
"GO:0032929"	0.324834882113229	0.958537206390114	1	3	"negative regulation of superoxide anion generation"	"BP"
"GO:0006172"	0.324853556623933	0.95853198406171	1	3	"ADP biosynthetic process"	"BP"
"GO:0035414"	0.325148016760004	0.901896105471686	2	9	"negative regulation of catenin import into nucleus"	"BP"
"GO:0009051"	0.325265153420463	0.958416781329442	1	3	"pentose-phosphate shunt, oxidative branch"	"BP"
"GO:0009134"	0.325449080063418	0.901740769181332	2	9	"nucleoside diphosphate catabolic process"	"BP"
"GO:0009191"	0.325449080063418	0.901740769181332	2	9	"ribonucleoside diphosphate catabolic process"	"BP"
"GO:0050930"	0.325562357531631	0.901682292052007	2	9	"induction of positive chemotaxis"	"BP"
"GO:0016672"	0.325631278439292	0.95831414547406	1	3	"oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor"	"MF"
"GO:0006458"	0.325691449196595	0.868228573407374	3	16	"'de novo' protein folding"	"BP"
"GO:0051084"	0.325691449196595	0.868228573407374	3	16	"'de novo' posttranslational protein folding"	"BP"
"GO:0046873"	0.325742911635995	0.744164794887384	29	204	"metal ion transmembrane transporter activity"	"MF"
"00514"	0.325949934463526	0.818926308928031	6	36	"Other types of O-glycan biosynthesis"	"KEGG"
"GO:0002026"	0.325953975745581	0.846279010167687	4	23	"regulation of the force of heart contraction"	"BP"
"GO:0051386"	0.326029236718388	0.901441098718222	2	9	"regulation of neurotrophin TRK receptor signaling pathway"	"BP"
"GO:0046471"	0.326138957667312	0.901384374765156	2	9	"phosphatidylglycerol metabolic process"	"BP"
"GO:0046208"	0.326222021384407	0.958148223910483	1	3	"spermine catabolic process"	"BP"
"GO:0055022"	0.32623474120127	0.901334843384899	2	9	"negative regulation of cardiac muscle tissue growth"	"BP"
"GO:0061117"	0.32623474120127	0.901334843384899	2	9	"negative regulation of heart growth"	"BP"
"GO:0044375"	0.326371247082872	0.958106248718939	1	3	"regulation of peroxisome size"	"BP"
"GO:0003032"	0.326390612008571	0.958100799782485	1	3	"detection of oxygen"	"BP"
"GO:0034116"	0.326513051573087	0.901190856160564	2	9	"positive regulation of heterotypic cell-cell adhesion"	"BP"
"GO:0045065"	0.326528792140525	0.958061906131129	1	3	"cytotoxic T cell differentiation"	"BP"
"04722"	0.32662012458934	0.763312232432619	17	117	"Neurotrophin signaling pathway"	"KEGG"
"GO:0004416"	0.326690552027142	0.958016348083817	1	3	"hydroxyacylglutathione hydrolase activity"	"MF"
"GO:0006714"	0.326737631707637	0.958003083013614	1	3	"sesquiterpenoid metabolic process"	"BP"
"GO:0007276"	0.326862194867783	0.729924627212283	45	331	"gamete generation"	"BP"
"GO:0002221"	0.326897068741482	0.775104191488858	13	87	"pattern recognition receptor signaling pathway"	"BP"
"GO:1901991"	0.326920102108923	0.774999615406238	13	88	"negative regulation of mitotic cell cycle phase transition"	"BP"
"GO:1901970"	0.32699422407513	0.900941677218346	2	9	"positive regulation of mitotic sister chromatid separation"	"BP"
"GO:0046006"	0.327070692431089	0.84551668293398	4	23	"regulation of activated T cell proliferation"	"BP"
"GO:1901844"	0.327082962191446	0.957905706896947	1	3	"regulation of cell communication by electrical coupling involved in cardiac conduction"	"BP"
"GO:0060612"	0.327221646040994	0.829692551150207	5	30	"adipose tissue development"	"BP"
"00740"	0.327297316299849	0.900784563333142	2	9	"Riboflavin metabolism"	"KEGG"
"GO:0034436"	0.327346465216443	0.957831313796236	1	3	"glycoprotein transport"	"BP"
"GO:0019244"	0.327356807965486	0.957828392193927	1	3	"lactate biosynthetic process from pyruvate"	"BP"
"GO:0004096"	0.327399144980383	0.957816431644164	1	3	"catalase activity"	"MF"
"GO:0006531"	0.327400390165786	0.900731105602611	2	9	"aspartate metabolic process"	"BP"
"GO:0033031"	0.327402723084343	0.957815420707886	1	3	"positive regulation of neutrophil apoptotic process"	"BP"
"GO:0060828"	0.327555318113373	0.760145424251773	18	124	"regulation of canonical Wnt signaling pathway"	"BP"
"GO:0050715"	0.327623108666639	0.787533853405943	10	66	"positive regulation of cytokine secretion"	"BP"
"GO:0033623"	0.327811178112489	0.900517918646208	2	9	"regulation of integrin activation"	"BP"
"GO:0060671"	0.327880577225089	0.957680280514812	1	3	"epithelial cell differentiation involved in embryonic placenta development"	"BP"
"GO:0060672"	0.327880577225089	0.957680280514812	1	3	"epithelial cell morphogenesis involved in placental branching"	"BP"
"GO:0009142"	0.328259259419129	0.798601342942048	8	56	"nucleoside triphosphate biosynthetic process"	"BP"
"GO:0015740"	0.32827649894252	0.900276164354197	2	9	"C4-dicarboxylate transport"	"BP"
"GO:0019862"	0.328338050420085	0.957550662014307	1	3	"IgA binding"	"MF"
"GO:0070373"	0.32833996436967	0.807245345179642	7	44	"negative regulation of ERK1 and ERK2 cascade"	"BP"
"GO:0043537"	0.32839837188177	0.866540257405906	3	16	"negative regulation of blood vessel endothelial cell migration"	"BP"
"GO:1901292"	0.328409171833465	0.777479389244387	12	82	"nucleoside phosphate catabolic process"	"BP"
"GO:1901981"	0.328510755366495	0.77023075395045	14	95	"phosphatidylinositol phosphate binding"	"MF"
"GO:0042403"	0.328523929438453	0.900147498254617	2	9	"thyroid hormone metabolic process"	"BP"
"GO:2000270"	0.32864234982639	0.900085890259735	2	9	"negative regulation of fibroblast apoptotic process"	"BP"
"GO:0009948"	0.328716541150448	0.816556016082391	6	37	"anterior/posterior axis specification"	"BP"
"GO:2000224"	0.328910430431339	0.957388152357103	1	3	"regulation of testosterone biosynthetic process"	"BP"
"GO:0048210"	0.329065352358649	0.957344103168504	1	3	"Golgi vesicle fusion to target membrane"	"BP"
"GO:0042296"	0.329176752524378	0.95731241175841	1	3	"ISG15 transferase activity"	"MF"
"GO:0030836"	0.32933196989208	0.899726752299404	2	9	"positive regulation of actin filament depolymerization"	"BP"
"GO:0048608"	0.329459826017428	0.731573592581673	39	282	"reproductive structure development"	"BP"
"GO:0045917"	0.329522779810384	0.957213883184147	1	3	"positive regulation of complement activation"	"BP"
"GO:2000259"	0.329522779810384	0.957213883184147	1	3	"positive regulation of protein activation cascade"	"BP"
"GO:0002581"	0.329732928112702	0.95715397873149	1	3	"negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	"BP"
"GO:0002523"	0.329745187395348	0.897829323714211	2	10	"leukocyte migration involved in inflammatory response"	"BP"
"GO:0033673"	0.329878462684248	0.744053101878073	26	186	"negative regulation of kinase activity"	"BP"
"GO:0060231"	0.329902141392619	0.89942935052755	2	9	"mesenchymal to epithelial transition"	"BP"
"00290"	0.329941512358536	0.899408798907969	2	9	"Valine, leucine and isoleucine biosynthesis"	"KEGG"
"GO:0070302"	0.330281143907448	0.749830536911898	22	154	"regulation of stress-activated protein kinase signaling cascade"	"BP"
"GO:0071926"	0.330327951472961	0.956984090343973	1	3	"endocannabinoid signaling pathway"	"BP"
"GO:0051705"	0.330361494974919	0.797767789141044	8	51	"multi-organism behavior"	"BP"
"GO:0060080"	0.330428065634669	0.899154650929547	2	9	"inhibitory postsynaptic potential"	"BP"
"GO:0001910"	0.330561805021928	0.805303377213973	7	45	"regulation of leukocyte mediated cytotoxicity"	"BP"
"GO:0016321"	0.330682665598996	0.956882622398699	1	3	"female meiosis chromosome segregation"	"BP"
"GO:1902947"	0.330871393167787	0.956828577464322	1	3	"regulation of tau-protein kinase activity"	"BP"
"GO:1902988"	0.330871393167787	0.956828577464322	1	3	"neurofibrillary tangle assembly"	"BP"
"GO:1902996"	0.330871393167787	0.956828577464322	1	3	"regulation of neurofibrillary tangle assembly"	"BP"
"GO:0071356"	0.330915547710769	0.784844995645643	10	66	"cellular response to tumor necrosis factor"	"BP"
"GO:0006978"	0.330921901776501	0.898896381849029	2	9	"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	"BP"
"GO:0048369"	0.331011344692225	0.956788474084042	1	3	"lateral mesoderm morphogenesis"	"BP"
"GO:0048370"	0.331011344692225	0.956788474084042	1	3	"lateral mesoderm formation"	"BP"
"GO:0048371"	0.331011344692225	0.956788474084042	1	3	"lateral mesodermal cell differentiation"	"BP"
"GO:0001537"	0.331119525876357	0.842740883916383	4	23	"N-acetylgalactosamine 4-O-sulfotransferase activity"	"MF"
"GO:0036445"	0.331176176081406	0.898763275538846	2	9	"neuronal stem cell division"	"BP"
"GO:0055057"	0.331176176081406	0.898763275538846	2	9	"neuroblast division"	"BP"
"GO:0051344"	0.331199361925244	0.956734562262623	1	3	"negative regulation of cyclic-nucleotide phosphodiesterase activity"	"BP"
"GO:0048806"	0.331232293948304	0.826785644781254	5	30	"genitalia development"	"BP"
"GO:0002429"	0.331331954879018	0.76465114249004	15	103	"immune response-activating cell surface receptor signaling pathway"	"BP"
"GO:0010560"	0.331554585736483	0.864560380206701	3	16	"positive regulation of glycoprotein biosynthetic process"	"BP"
"GO:0060700"	0.331592975692835	0.956621567504788	1	3	"regulation of ribonuclease activity"	"BP"
"GO:0061029"	0.331610940816791	0.898535490722501	2	9	"eyelid development in camera-type eye"	"BP"
"GO:0006268"	0.331707155182885	0.898485047984588	2	9	"DNA unwinding involved in DNA replication"	"BP"
"GO:0036315"	0.331801999058014	0.898435311885844	2	9	"cellular response to sterol"	"BP"
"GO:1901201"	0.331893046408654	0.898387555592147	2	9	"regulation of extracellular matrix assembly"	"BP"
"GO:0045956"	0.331933238570138	0.898366470482381	2	9	"positive regulation of calcium ion-dependent exocytosis"	"BP"
"GO:0039536"	0.331990973455903	0.956507134594947	1	3	"negative regulation of RIG-I signaling pathway"	"BP"
"GO:1900040"	0.332144137018673	0.898255796864133	2	9	"regulation of interleukin-2 secretion"	"BP"
"GO:0030157"	0.332147637624597	0.89825395935201	2	9	"pancreatic juice secretion"	"BP"
"GO:0006564"	0.332190019172514	0.956449836870873	1	3	"L-serine biosynthetic process"	"BP"
"GO:0031290"	0.332251090365952	0.898199648450614	2	9	"retinal ganglion cell axon guidance"	"BP"
"GO:0043568"	0.332301145921976	0.898173365111392	2	9	"positive regulation of insulin-like growth factor receptor signaling pathway"	"BP"
"GO:0042043"	0.332364318187541	0.898140189717385	2	9	"neurexin family protein binding"	"MF"
"GO:0071496"	0.332371661777788	0.723679773083934	47	347	"cellular response to external stimulus"	"BP"
"GO:0097114"	0.332381348350862	0.956394717809387	1	3	"NMDA glutamate receptor clustering"	"BP"
"GO:0051020"	0.332414778011759	0.732107629878895	35	251	"GTPase binding"	"MF"
"GO:0015697"	0.33251413315266	0.898061492333397	2	9	"quaternary ammonium group transport"	"BP"
"GO:0004694"	0.332566494503237	0.898033980120863	2	9	"eukaryotic translation initiation factor 2alpha kinase activity"	"MF"
"GO:0044320"	0.332595547955013	0.898018713021142	2	9	"cellular response to leptin stimulus"	"BP"
"GO:0010040"	0.332628240600729	0.956323530073763	1	3	"response to iron(II) ion"	"BP"
"GO:0051957"	0.332642369760925	0.897994106621107	2	9	"positive regulation of amino acid transport"	"BP"
"GO:0003177"	0.332647893411083	0.897991203571843	2	9	"pulmonary valve development"	"BP"
"GO:0003184"	0.332647893411083	0.897991203571843	2	9	"pulmonary valve morphogenesis"	"BP"
"GO:0042374"	0.332815129424747	0.956269597123507	1	3	"phylloquinone metabolic process"	"BP"
"GO:0042376"	0.332815129424747	0.956269597123507	1	3	"phylloquinone catabolic process"	"BP"
"GO:1901662"	0.332815129424747	0.956269597123507	1	3	"quinone catabolic process"	"BP"
"GO:0017162"	0.333005916260325	0.956214498088769	1	3	"aryl hydrocarbon receptor binding"	"MF"
"GO:0046923"	0.33307667572594	0.956194052249387	1	3	"ER retention sequence binding"	"MF"
"GO:2000826"	0.333147813295267	0.863556317373537	3	16	"regulation of heart morphogenesis"	"BP"
"GO:0001665"	0.333244574361615	0.956145515279426	1	3	"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity"	"MF"
"GO:0019659"	0.333250342212309	0.956143847307673	1	3	"glucose catabolic process to lactate"	"BP"
"GO:0019660"	0.333250342212309	0.956143847307673	1	3	"glycolytic fermentation"	"BP"
"GO:0019661"	0.333250342212309	0.956143847307673	1	3	"glucose catabolic process to lactate via pyruvate"	"BP"
"GO:0015108"	0.333386235677742	0.813031960593643	6	37	"chloride transmembrane transporter activity"	"MF"
"GO:0033499"	0.333453715425898	0.956085010633592	1	3	"galactose catabolic process via UDP-galactose"	"BP"
"GO:0061622"	0.333453715425898	0.956085010633592	1	3	"glycolytic process through glucose-1-phosphate"	"BP"
"GO:0061623"	0.333453715425898	0.956085010633592	1	3	"glycolytic process from galactose"	"BP"
"GO:0042130"	0.333732787442014	0.802837806278026	7	45	"negative regulation of T cell proliferation"	"BP"
"GO:0004144"	0.333838054969166	0.955973690399429	1	3	"diacylglycerol O-acyltransferase activity"	"MF"
"GO:0035795"	0.333962422068285	0.955937632442683	1	3	"negative regulation of mitochondrial membrane permeability"	"BP"
"GO:1902109"	0.333962422068285	0.955937632442683	1	3	"negative regulation of mitochondrial membrane permeability involved in apoptotic process"	"BP"
"GO:0032377"	0.334141497805624	0.955885681589957	1	3	"regulation of intracellular lipid transport"	"BP"
"GO:0032380"	0.334141497805624	0.955885681589957	1	3	"regulation of intracellular sterol transport"	"BP"
"GO:0032383"	0.334141497805624	0.955885681589957	1	3	"regulation of intracellular cholesterol transport"	"BP"
"GO:0030032"	0.334200929394191	0.794720102182942	8	51	"lamellipodium assembly"	"BP"
"GO:0009200"	0.334224510533961	0.862035806545602	3	17	"deoxyribonucleoside triphosphate metabolic process"	"BP"
"GO:0051388"	0.334277876863194	0.955846092624005	1	3	"positive regulation of neurotrophin TRK receptor signaling pathway"	"BP"
"GO:0046148"	0.334376380858065	0.811999517775718	6	38	"pigment biosynthetic process"	"BP"
"GO:0046916"	0.334450916648269	0.787514927873984	9	60	"cellular transition metal ion homeostasis"	"BP"
"GO:0015141"	0.334461826561655	0.955792660776025	1	3	"succinate transmembrane transporter activity"	"MF"
"GO:0015744"	0.334461826561655	0.955792660776025	1	3	"succinate transport"	"BP"
"GO:0051092"	0.334478966429561	0.768624947683078	13	88	"positive regulation of NF-kappaB transcription factor activity"	"BP"
"GO:0006907"	0.334603345361564	0.862636308849566	3	16	"pinocytosis"	"BP"
"GO:0021984"	0.334697958080934	0.955724014795404	1	3	"adenohypophysis development"	"BP"
"GO:0002686"	0.334717822551815	0.862563840139434	3	16	"negative regulation of leukocyte migration"	"BP"
"GO:0006068"	0.334827917380451	0.955686206930779	1	3	"ethanol catabolic process"	"BP"
"GO:0004127"	0.334963972583646	0.955646604870876	1	3	"cytidylate kinase activity"	"MF"
"GO:0070884"	0.335121130513982	0.862308401641563	3	16	"regulation of calcineurin-NFAT signaling cascade"	"BP"
"GO:2000253"	0.335150929716387	0.955592151943386	1	3	"positive regulation of feeding behavior"	"BP"
"05210"	0.335307356857236	0.786969105326769	9	59	"Colorectal cancer"	"KEGG"
"GO:0034625"	0.335376045510026	0.955526531696152	1	3	"fatty acid elongation, monounsaturated fatty acid"	"BP"
"GO:0007339"	0.335395682030157	0.862134397879283	3	16	"binding of sperm to zona pellucida"	"BP"
"GO:0035036"	0.335395682030157	0.862134397879283	3	16	"sperm-egg recognition"	"BP"
"GO:0010524"	0.335396936182241	0.823374772604595	5	31	"positive regulation of calcium ion transport into cytosol"	"BP"
"GO:0048566"	0.335662294773883	0.839604314623978	4	23	"embryonic digestive tract development"	"BP"
"GO:1903587"	0.335760365226324	0.955414369643992	1	3	"regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis"	"BP"
"GO:2000346"	0.335805286827342	0.955401248384757	1	3	"negative regulation of hepatocyte proliferation"	"BP"
"GO:0051341"	0.336037226110341	0.792897717304063	8	53	"regulation of oxidoreductase activity"	"BP"
"GO:0070814"	0.336242439775672	0.955273438113939	1	3	"hydrogen sulfide biosynthetic process"	"BP"
"GO:0010591"	0.336284980512515	0.839172554441773	4	23	"regulation of lamellipodium assembly"	"BP"
"GO:0006667"	0.336299502539491	0.955256738465656	1	3	"sphinganine metabolic process"	"BP"
"GO:0036091"	0.336390088088854	0.95523022054062	1	3	"positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress"	"BP"
"GO:1900108"	0.336504793728481	0.955196628167781	1	3	"negative regulation of nodal signaling pathway"	"BP"
"GO:0004663"	0.336779615546608	0.955116082971371	1	3	"Rab geranylgeranyltransferase activity"	"MF"
"GO:0071108"	0.336784193195135	0.86125297699677	3	16	"protein K48-linked deubiquitination"	"BP"
"GO:0006448"	0.336866047530973	0.89402686647668	2	10	"regulation of translational elongation"	"BP"
"GO:0003071"	0.337098500228115	0.861053127557881	3	16	"renal system process involved in regulation of systemic arterial blood pressure"	"BP"
"GO:0003025"	0.337361635262154	0.954945216376166	1	3	"regulation of systemic arterial blood pressure by baroreceptor feedback"	"BP"
"GO:0007403"	0.337635615080789	0.954864647429751	1	3	"glial cell fate determination"	"BP"
"GO:0048861"	0.337671446325557	0.954854104169122	1	3	"leukemia inhibitory factor signaling pathway"	"BP"
"GO:2001070"	0.33767436473132	0.954853245369813	1	3	"starch binding"	"MF"
"GO:0015297"	0.337830635001727	0.779301308265687	10	65	"antiporter activity"	"MF"
"GO:0043309"	0.33796085816643	0.954768891070247	1	3	"regulation of eosinophil degranulation"	"BP"
"GO:0032346"	0.338156111916507	0.95471134680224	1	3	"positive regulation of aldosterone metabolic process"	"BP"
"GO:0032349"	0.338156111916507	0.95471134680224	1	3	"positive regulation of aldosterone biosynthetic process"	"BP"
"GO:2000645"	0.338172842758969	0.9547064139182	1	3	"negative regulation of receptor catabolic process"	"BP"
"GO:0009093"	0.338227756797014	0.954690220913209	1	3	"cysteine catabolic process"	"BP"
"GO:0019448"	0.338227756797014	0.954690220913209	1	3	"L-cysteine catabolic process"	"BP"
"GO:0046439"	0.338227756797014	0.954690220913209	1	3	"L-cysteine metabolic process"	"BP"
"GO:0051665"	0.338255906626425	0.954681918764471	1	3	"membrane raft localization"	"BP"
"GO:0046950"	0.338305980141659	0.954667148462227	1	3	"cellular ketone body metabolic process"	"BP"
"GO:1902224"	0.338305980141659	0.954667148462227	1	3	"ketone body metabolic process"	"BP"
"GO:0008934"	0.338515158779186	0.95460541520621	1	3	"inositol monophosphate 1-phosphatase activity"	"MF"
"GO:0052832"	0.338515158779186	0.95460541520621	1	3	"inositol monophosphate 3-phosphatase activity"	"MF"
"GO:0052833"	0.338515158779186	0.95460541520621	1	3	"inositol monophosphate 4-phosphatase activity"	"MF"
"GO:0052834"	0.338515158779186	0.95460541520621	1	3	"inositol monophosphate phosphatase activity"	"MF"
"GO:0009092"	0.338908101152633	0.954489312390503	1	3	"homoserine metabolic process"	"BP"
"GO:0019346"	0.338908101152633	0.954489312390503	1	3	"transsulfuration"	"BP"
"GO:0009436"	0.338923054666483	0.954484890542566	1	3	"glyoxylate catabolic process"	"BP"
"GO:0002432"	0.338945310758302	0.954478308797036	1	3	"granuloma formation"	"BP"
"GO:0010965"	0.33904206615601	0.798688575504335	7	45	"regulation of mitotic sister chromatid separation"	"BP"
"GO:0036112"	0.339062828696455	0.954443545968574	1	3	"medium-chain fatty-acyl-CoA metabolic process"	"BP"
"GO:0042491"	0.339095026980276	0.837218639799792	4	23	"auditory receptor cell differentiation"	"BP"
"GO:0060323"	0.339242423660589	0.820929077426451	5	30	"head morphogenesis"	"BP"
"GO:0001951"	0.339442265231884	0.954331196183812	1	3	"intestinal D-glucose absorption"	"BP"
"GO:1902896"	0.339442265231884	0.954331196183812	1	3	"terminal web assembly"	"BP"
"GO:2000449"	0.339563036796393	0.954295401175329	1	3	"regulation of CD8-positive, alpha-beta T cell extravasation"	"BP"
"GO:0008360"	0.339577020170753	0.754639455614036	16	111	"regulation of cell shape"	"BP"
"GO:0002924"	0.339618910765065	0.954278835191701	1	3	"negative regulation of humoral immune response mediated by circulating immunoglobulin"	"BP"
"GO:0001784"	0.339721321663195	0.85938069553917	3	16	"phosphotyrosine binding"	"MF"
"GO:0006533"	0.339740770223534	0.954242692725635	1	3	"aspartate catabolic process"	"BP"
"GO:0046328"	0.339755411003369	0.749460807709068	18	125	"regulation of JNK cascade"	"BP"
"GO:0045089"	0.339852925893116	0.747105667265561	19	133	"positive regulation of innate immune response"	"BP"
"GO:0010911"	0.339883491470315	0.95420034094678	1	3	"regulation of isomerase activity"	"BP"
"GO:0010912"	0.339883491470315	0.95420034094678	1	3	"positive regulation of isomerase activity"	"BP"
"GO:2000409"	0.339895868533549	0.954196667005727	1	3	"positive regulation of T cell extravasation"	"BP"
"GO:0050220"	0.339976314488085	0.954172783529912	1	3	"prostaglandin-E synthase activity"	"MF"
"GO:0071873"	0.340005750019928	0.954164042584763	1	3	"response to norepinephrine"	"BP"
"GO:0033504"	0.340047100983957	0.9541517616287	1	3	"floor plate development"	"BP"
"GO:0060331"	0.340063627755882	0.954146852734675	1	3	"negative regulation of response to interferon-gamma"	"BP"
"GO:0060336"	0.340063627755882	0.954146852734675	1	3	"negative regulation of interferon-gamma-mediated signaling pathway"	"BP"
"GO:0060371"	0.340194456351068	0.95410798195588	1	3	"regulation of atrial cardiac muscle cell membrane depolarization"	"BP"
"GO:0042938"	0.340328719341774	0.954068070128938	1	3	"dipeptide transport"	"BP"
"GO:0035672"	0.340328719342042	0.954068070128937	1	3	"oligopeptide transmembrane transport"	"BP"
"GO:0006522"	0.340461410755814	0.954028604923907	1	3	"alanine metabolic process"	"BP"
"GO:0009078"	0.340461410755814	0.954028604923907	1	3	"pyruvate family amino acid metabolic process"	"BP"
"GO:0042851"	0.340461410755814	0.954028604923907	1	3	"L-alanine metabolic process"	"BP"
"GO:0044789"	0.340800836061762	0.953927559706415	1	3	"modulation by host of viral release from host cell"	"BP"
"GO:0044791"	0.340800836061762	0.953927559706415	1	3	"positive regulation by host of viral release from host cell"	"BP"
"GO:0090201"	0.340849792622805	0.857797625779741	3	17	"negative regulation of release of cytochrome c from mitochondria"	"BP"
"GO:0035359"	0.341073778782347	0.953846208947873	1	3	"negative regulation of peroxisome proliferator activated receptor signaling pathway"	"BP"
"GO:0071074"	0.34112371734611	0.953831315356926	1	3	"eukaryotic initiation factor eIF2 binding"	"MF"
"GO:2000781"	0.34112371734615	0.953831315356887	1	3	"positive regulation of double-strand break repair"	"BP"
"GO:0090038"	0.341144785230974	0.953825031237887	1	3	"negative regulation of protein kinase C signaling"	"BP"
"GO:0017014"	0.341179716294758	0.891690769557171	2	10	"protein nitrosylation"	"BP"
"GO:0042780"	0.34124326705163	0.953795649282322	1	3	"tRNA 3'-end processing"	"BP"
"GO:0001834"	0.341323892032302	0.953771586502857	1	3	"trophectodermal cell proliferation"	"BP"
"GO:0039692"	0.341349430957863	0.953763962753685	1	3	"single stranded viral RNA replication via double stranded DNA intermediate"	"BP"
"GO:0060167"	0.341365356349823	0.953759208403448	1	3	"regulation of adenosine receptor signaling pathway"	"BP"
"GO:0002414"	0.341365356349861	0.95375920840341	1	3	"immunoglobulin transcytosis in epithelial cells"	"BP"
"GO:0042321"	0.341365356350131	0.953759208403409	1	3	"negative regulation of circadian sleep/wake cycle, sleep"	"BP"
"GO:0043152"	0.341434504589776	0.953738561537196	1	3	"induction of bacterial agglutination"	"BP"
"GO:0001030"	0.341435694127362	0.953738206306313	1	3	"RNA polymerase III type 1 promoter DNA binding"	"MF"
"GO:0001031"	0.341435694127362	0.953738206306313	1	3	"RNA polymerase III type 2 promoter DNA binding"	"MF"
"GO:0001032"	0.341435694127362	0.953738206306313	1	3	"RNA polymerase III type 3 promoter DNA binding"	"MF"
"GO:0080084"	0.341435694127362	0.953738206306313	1	3	"5S rDNA binding"	"MF"
"GO:0000107"	0.341458661578778	0.953731347228386	1	3	"imidazoleglycerol-phosphate synthase activity"	"MF"
"GO:0018071"	0.341458661578778	0.953731347228386	1	3	"NAD(P)-cysteine ADP-ribosyltransferase activity"	"MF"
"GO:0018121"	0.341458661578778	0.953731347228386	1	3	"NAD(P)-asparagine ADP-ribosyltransferase activity"	"MF"
"GO:0018127"	0.341458661578778	0.953731347228386	1	3	"NAD(P)-serine ADP-ribosyltransferase activity"	"MF"
"GO:0043867"	0.341458661578778	0.953731347228386	1	3	"7-cyano-7-deazaguanine tRNA-ribosyltransferase activity"	"MF"
"GO:0044102"	0.341458661578778	0.953731347228386	1	3	"purine deoxyribosyltransferase activity"	"MF"
"GO:0007621"	0.341577179732026	0.953695942810155	1	3	"negative regulation of female receptivity"	"BP"
"GO:0070091"	0.341598666233207	0.953689522490069	1	3	"glucagon secretion"	"BP"
"GO:0070092"	0.341598666233207	0.953689522490069	1	3	"regulation of glucagon secretion"	"BP"
"GO:0035175"	0.341605777390701	0.953687397507197	1	3	"histone kinase activity (H3-S10 specific)"	"MF"
"GO:0043654"	0.341626958479	0.953681067745717	1	3	"recognition of apoptotic cell"	"BP"
